producer,importer,fit,priority,status,reason
Katarzyna Estate,Simple Group,high,P1,on_hold,"премиальный still-портфель + сеть винотек — премиум красные Фракии"
Katarzyna Estate,ВайнДом,high,P1,on_hold,"элитный сегмент — место для премиальных PDO-красных"
Katarzyna Estate,Fort,high,P1,on_hold,"импортёр вина с интересом к премиуму"
Katarzyna Estate,MBG Wine,mid,P2,on_hold,"средний-плюс/премиум вино, опыт эксклюзивов"
Katarzyna Estate,Luding Group,mid,P2,on_hold,"премиум-линия в широком портфеле"
Katarzyna Estate,Ladoga,mid,P2,on_hold,"вино в портфеле, но фокус смещается в крепкое"
Black Sea Gold,Ladoga,high,P1,active,"расширяет бренди/портвейн — Бургас-63 и бренди в тему"
Black Sea Gold,Luding Group,high,P1,active,"вино+крепкое в одном портфеле — бренди и белые"
Black Sea Gold,Beluga Group / Novabev,mid,P2,active,"лидер крепкого — бренди Бургас-63"
Black Sea Gold,Триалко,mid,P2,active,"дистрибуция крепкого — линейка бренди"
SIS Industries,Beluga Group / Novabev,high,P1,active,"крупнейший импортёр крепкого — бренди/ракия/дистилляты"
SIS Industries,Luding Group,high,P1,active,"широкий крепкий портфель"
SIS Industries,Ladoga,mid,P2,active,"крепкое направление растёт"
SIS Industries,Триалко,mid,P2,active,"специалист по крепкому"
Katarzyna Estate,AST,high,P1,on_hold,"импортёр элитного алкоголя, своя розница/HoReCa — премиум красные"
Katarzyna Estate,ВиноТерра,high,P1,on_hold,"силён в премиальном вине (Бургундия/Бордо) — место для Фракии"
Black Sea Gold,AST,mid,P2,active,"крепкое направление — бренди Бургас-63"
SIS Industries,AST,mid,P2,active,"элитный алкоголь, крепкое — бренди/ракия"
Katarzyna Estate,Альтаир (ГК Альтаир),mid,P2,on_hold,"свой импорт+дистрибуция (Винтрест) — премиум-вино дополнит, не конкурируя с собств. марками"
SIS Industries,Альтаир (ГК Альтаир),mid,P2,active,"свой импорт крепкого, но широкий профиль дистрибьютора — место для бренди/ракии"
SIS Industries,Регион-50,low,P3,active,"масс-ретейл + своё пр-во коньяка — узкое окно, только через их дистрибуцию"
