name,focus,segment,categories,regions,notes,source
Luding Group,вино+крепкое,бюджет→премиум,"вино, крепкое, бренди","РФ, федеральный","огромный портфель ~37 стран, эксклюзивы (Allegrini) ⚠️ проверить",wineretail/kommersant
Ladoga,вино+крепкое,средний→премиум,"вино, бренди, портвейн","РФ, СПб/федеральный","топ-10 по вину, расширяет бренди/портвейн (Porto Cruz) ⚠️ проверить",ladogaspb/kommersant
Simple Group,вино,премиум,"тихое вино, игристое","РФ, Москва/федеральный","премиальный импортёр, сеть винотек SimpleWine ⚠️ проверить",tadviser/kommersant
Fort,вино,средний→премиум,"тихое вино","РФ, федеральный","интерес к премиуму, винотеки ⚠️ проверить",wineretail
MBG Wine,вино,средний→премиум,"тихое вино","РФ, федеральный","возили Allegrini до Luding ⚠️ проверить",kommersant
ВайнДом,элитный алкоголь,премиум,"вино, крепкое","РФ","дистрибуция элитного алкоголя с 2003 ⚠️ проверить",vinofan
Beluga Group / Novabev,крепкое+вино,средний→премиум,"крепкое, бренди, вино","РФ, федеральный","крупнейший импортёр крепкого ⚠️ проверить",retail.ru/forbes
Триалко,крепкое,средний→премиум,"крепкое, виски, ром","РФ","дистрибуция крепкого (Jack Daniel's, Havana Club) ⚠️ проверить",torkclub
AST,вино+крепкое,премиум,"вино, крепкое, элитный алкоголь","РФ, Москва/федеральный","импортёр элитного алкоголя, своя розница и HoReCa ⚠️ проверить",ast-inter
ВиноТерра,вино+крепкое,средний→премиум,"вино, крепкое","РФ","с 2005, крупнейший дистрибьютор Бургундии, закупки Бордо En Primeur ⚠️ проверить",vinoterra
ТД Арома,вино+крепкое,средний,"вино, коньяк/бренди (своё пр-во)","РФ, 250+ городов, Москва/СПб","ТД с 1996, сеть Ароматный мир, своё пр-во коньяка ⚠️ проверить",aroma.ru
Альтаир (ГК Альтаир),вино+крепкое,средний→премиум,"вино, ром, виски, водка (свои марки)","РФ, федеральный","дистрибьютор+импортёр+производитель, сеть Винтрест, Шуйская водка ⚠️ проверить",altairalco
Винтегра,вино/крепкое (?),,,,"профиль на алкорынке не подтверждён — уточнить ⚠️ проверить",от пользователя
Регион-50,крепкое+вино,средний (масс-ретейл),"водка, вино, шампанское, коньяк (своё пр-во)","Москва+область, ЦФО","дистрибьютор с 2003, 3000+ SKU, снабжает Магнит/Пятёрочку, пр-во в Дмитрове ⚠️ проверить",region-50.ru
